texts,dates,titles
"
                    
                        World-first allows people to better understand courtroom process.
                    

Victims and witnesses are set to use virtual reality headsets to familiarise themselves with giving evidence in court as part of a pioneering Scottish-Government initiative to allay fears or discomfort around the process.
Ahead of giving evidence in court, the world-leading £500,000 virtual court project will allow victims to ‘walk through’ a 3-dimensional world, comprising actual videos of the court building where their case will be held. The system uses cutting-edge software to allow victims and witnesses to interact in a virtual environment that includes depictions of the people and objects they can expect to encounter when they go to court.
The project will enable victims and witnesses to be supported at all times by Victim Support Scot* (VSS) volunteers as they experience the virtual court environment. This will remove the need to travel to court prior to their hearing date, while allowing people to familiarise themselves with what can be an unfamiliar, daunting and often retraumatising environment.
The project - a partnership between VSS, tech provider Immersonal and CivTech, the world’s first successful public-sector-focused innovation accelerator - has delivered a working prototype for Glasgow Sheriff Court and the High Court in Glasgow with wider development and roll out over the next year. 
Cabinet Secretary for Justice and Home Affairs Angela Constance said:
“We continue to put victims at the heart of the criminal justice system, their needs are an absolute priority. However victims and witnesses can naturally find giving evidence a daunting prospect. This unique project, using innovative technology to support and prepare victims for attending court, could prove transformative.
“It has the potential to reduce anxiety and additional trauma, and also reduces the need to travel often long distances for victims to familiarise themselves with a new environment before experiencing it ‘in real life’. We hope that this will reduce retraumatisation and anxiety, supporting victims to give the highest quality evidence.
“This project is part of the Scottish-Government‘s wider work that has seen more than £93 million invested through the justice budget over the past five years to prioritise victims' rights and needs. Our Victim Centred Approach Fund continues this important commitment, making £48 million available to victims’ organisations.”
Chief Executive of Victim Support Scot* Kate Wallace said:
“Victims and witnesses often tell us of the retraumatising effects caused by giving evidence in court and that it can cause as much anxiety as the crime itself. Victim Support Scot* strongly advocates for victims being able to give evidence remotely and in trauma-informed environments. 
“This virtual reality experience will provide just that and can be accessed through a headset available with the help of volunteers from Victim Support Scot*, as well as through laptops, smart phones and tablets thereby offering more choice and access about how to prepare for court at a time and place that suits the victim.”
Background 
The cost of the project is being met by CivTech (£393,000) and the Scottish-Government (£131,000). VSS is now working with Immersonal on the first steps towards making the experience available at all 52 criminal courts in Scot*.
CivTech is a partnership between the Scottish-Government’s Digital and Economic Directorates. Its mission is to drive daring and innovation in the public and third sectors by collaboratively solving challenges to make people’s lives better – and in doing so create generations of sustainable, high growth potential businesses. Its Vision is a transformed Scot*, with the best public services in the world. 
Victim Support Scot* is a victim support organisation that provides free advice and support to victims.
Immersonal is a Northern Ireland-based product development company that creates bespoke virtual reality applications. They were successfully selected to join the CivTech programme after submitting their proposed solution.
The Scottish-Government’s Victim Centred Approach Fund is providing £48 million over three-years to fund support for victims’ organisations across Scot*.
Victims will continue to have the option of in-person court familiarisation visits, in tandem with the virtual visits.            ",14/04/2023,Virtual reality helping victims
"
                    
                        Request for judicial review of UK Government use of veto.
                    

The Scottish-Government will challenge the Secretary of State for Scot*’s use of Section 35 of the Scot* Act to stop the Gender Recognition Reform (Scot*) Bill going forward to Royal Assent following the Scot*Parliament’s approval of the legislation in December 2022.

Social Justice Secretary Shirley-Anne Somerville has informed the Scot*Parliament that the Scottish-Government will lodge a petition for a judicial review of the Secretary of State for Scot*’s use of Section 35.

Ms Somerville said:

“The Gender Recognition Reform Bill was passed by an overwhelming majority of the Scot*Parliament, with support from members of all parties.

“The use of Section 35 is an unprecedented challenge to the Scot*Parliament’s ability to legislate on clearly devolved matters and it risks setting a dangerous constitutional precedent.

“In seeking to uphold the democratic will of the Parliament and defend devolution, Scot*Ministers will lodge a petition for a judicial review of the Secretary of State for Scot*’s decision.

“The UK Government gave no advance warning of their use of the power, and neither did they ask for any amendments to the Bill throughout its nine month passage through Parliament. Our offers to work with the UK Government on potential changes to the Bill have been refused outright by the Secretary of State, so legal challenge is our only reasonable means of resolving this situation.

“It is important to have clarity on the interpretation and scope of the Section 35 power and its impact on devolution. These matters should be legally tested in the courts.”

Background

Written Question Reference: S6W-17198

The Gender Recognition Reform (Scot*) Bill was passed by the Scot*Parliament on 22 December 2022 by 86 to 39 with members of all parties supporting the bill.

In January 2023, the UK Government used Section 35 of the Scot* Act 1998 to stop the Bill being put forward for Royal Assent.

The Gender Recognition Reform Bill improved the system by which transgender people with a Scot*birth register entry or who are ordinarily resident in Scot* can apply for legal recognition through a Gender Recognition Certificate (GRC). Trans people have been able to apply for legal gender recognition through a GRC since 2004. Not all trans people have a GRC and no-one is required to have one.

The Bill includes safeguards against misuse of the system. It will be a criminal offence for applicants to make a false application. A new statutory aggravator and a risk-based approach in relation to sex offences strengthen these protections.              ",12/04/2023,Section 35 Order challenge
"
                    
                        Legislation strengthened to prevent the spread of infection.
                    

Farmers bringing cattle into Scot* will be subject to tighter controls in order to reduce the risk of spreading Bovine Tuberculosis (TB).

From 18 May, changes to legislation will come into force which will require stricter pre-movement testing of cattle, adding extra precautions for animals coming from areas of higher risk of infection.

In addition, compensation will be reduced for any unclean cattle slaughtered for TB control purposes. This will incentivise farmers to keep their animals clean and promote better animal health and welfare.

A new definition for isolation will also be introduced, and compensation will be reduced for cattle which are not properly isolated. This will strengthen the protection of the main herd against onward spread of infection from any reactors or suspect reactors.

Rural Affairs Secretary Mairi Gougeon said:

“Although Scot* is officially TB free, cases do still occur - and breakdowns are extremely disruptive, upsetting and distressing for cattle owners.

“We are committed to maintaining Scot*’s low TB infection rates and OTF status, which is crucial to the success of our cattle industry.

“These legislative changes are part of a comprehensive, practical and proportionate programme of measures to minimise the risks from all potential sources of infection and reduce the risk of disease spread as far as possible.

“Guidance on TB is available on the Scottish-Government’s website and we will ensure farmers are kept up to date with the situation in Scot*. We will continue to support farmers affected by TB in partnership with the Animal and Plant Health Agency.”

NFU Scot* Vice President Alasdair Macnab said:

“Scot*cattle keepers are proud of Scot*’s Officially TB Free status (OTF) and remain committed to keeping TB out of Scot*.

“NFUS welcomes Scottish-Government’s commitment to continually reviewing the processes in place to protect Scot*’s cattle herd and to make sure they remain fit for purpose.

“The changes to the pre-movement test requirements and improved clarity around isolation are being introduced following a consultation process and should offer increased confidence to keepers.

“NFUS urges Scot*cattle keepers to remain aware that the greatest risk of introducing TB into Scot* is from cattle movements, and to continue to ensure their sourcing policies will minimise the risk to their own holding and the national herd.”

Background

Scot* was recognised as being officially TB free (OTF) by the European Commission in September 2009. Maintaining OTF status is crucial to the continuing success of the Scot*cattle industry which is regulated in terms of controls for TB by the Tuberculosis (Scot*) Order.

The new pre-movement testing requirements apply to cattle coming to Scot* from a TB high incidence area, including those coming from a low incidence TB area that have been in a high incidence TB high incidence area in any time of their life.

Eligible cattle, as above, will require a clear pre-movement test within 30 days prior to the movement to Scot* if tested after 18 May. This requirement was previously 60 days. Additional changes also mean that a negative TB test in a herd under movement restrictions will no longer be accepted as a qualifying pre-movement test, even if the test allows these restrictions to be lifted.

A public consultation took place on Citizens Space between 9 May – 1 August 2022, a total period of 12 weeks. The responses provided feedback which has been used to inform how legislation on TB in Scot* should be developed. It was clear that there is support among the various respondent groups for the changes being made under this amendment. A full consultation analysis is available at https://www.gov.scot/publications/bovine-tuberculosis-summary-consultation-responses/ 

The Animal and Plant Health Agency (APHA) were also consulted as the Scottish-Government’s operational delivery partners on all aspects of delivery and implementation.            ",12/04/2023,Protections for Scotland’s cattle industry
"
                    
                        Ensuring everyone has a home that meets their needs.
                    

Increasing and accelerating housing supply, tackling homelessness, ending rough sleeping and progressing Scot*’s 20-year housing plan are key priorities for Housing Minister Paul McLennan.

On his first public visit as Housing Minister, Mr McLennan visited the Letham Mains housing development in Haddington and saw first-hand how Scottish-Government funding is supporting local councils and housing associations to deliver energy-efficient homes that meet the needs of communities across Scot*.

Outlining his priorities, Mr McLennan said:

“My aim is for everyone to have a warm, safe, affordable home that meets their needs and these 37 new social rented homes in Haddington by East Lothian Council, supported by £2.2 million of Scottish-Government funding, will make a real and lasting difference to the lives of the new residents.

“Housing to 2040 sets out the vision for what we want Scot*’s homes and communities to look like. That includes ensuring people have access to green space and essential services, and putting an end to fuel poverty and homelessness.  

“Scot* has led the way in delivering affordable housing across the UK, with more than 118,000 homes delivered since 2007 and we are committed to delivering on our target of 110,000 affordable homes by 2032, of which at least 70% will be available for social rent and 10% will be in our remote, rural and island communities.

“I am well aware of the global issues affecting construction which are impacting housing delivery. I am confident, however, that with the continued support of our partners we can achieve our shared goal of delivering more affordable homes for the people of Scot*.

“Scot* has the strongest rights for homeless households in the UK and we are looking to strengthen these further - taking steps to reduce stays in temporary accommodation, eradicate rough sleeping and prevent homelessness from happening in the first place.

“We are also taking steps to make the right to an adequate home a reality, tackle high rents and increase stability for those in the private rented sector and give local authorities the tools they need to improve access to housing in their local areas.

“I look forward to working with all partners in the coming months as we redouble our efforts to support a robust and strong housing system for now and the future.”

East Lothian Council’s Cabinet Spokesperson for Housing and Property Maintenance, Councillor Andy Forrest, said:

“I was pleased to welcome the Housing Minister to this latest phase of the wider development at Letham Mains, which is providing 800 much-needed new homes for this area including affordable housing and, of course, the new Letham Mains Primary School. Letham also includes a local centre, community facilities and transport links. This site forms part of the council’s general commitment to build almost 2,000 new affordable homes between now and the financial year 2026/27.

""East Lothian Council is fully committed to preventing and tackling homelessness and welcomes continued engagement with the Scottish-Government, and now with our new Minister, to jointly address housing issues and pressures specific to East Lothian.”

Tommy Stirling, Production Director for Taylor Wimpey East Scot* adds:

“We are pleased to have had the opportunity to meet the new Housing Minister, Paul McLennan, during his visit to Letham Mains. We are proud of our long and established relationship with East Lothian Council, which has and continues to deliver much-needed affordable homes locally at Letham Mains, Haddington.  This visit was a great opportunity for the Minister to see first-hand the high-quality affordable homes that we are building.”

Background

Housing to 2040 is Scot*’s long-term strategy for housing. It was developed following extensive engagement with the housing sector, wider stakeholders and the public, and sets out a vision for what we want Scot*’s homes and communities to look like by the end of 2040.

Letham Mains, Haddington - Site 4 - Affordable Housing Project Details

Scottish-Government Affordable Housing Supply Programme Grant of £2.183m
 37 new build social rented units - built to Scottish-Government greener standard - of which:
 32 homes for general needs
 2 amenity homes for older people
 3 wheelchair homes for wheelchair users
 Mix of flats/cottage flats (4 in a block)/semi-detached and one detached
 Development will be fully finished in Spring 2023
",11/04/2023,Delivering Housing to 2040
"
                    
                        Array tested before deployment this year.
                    

Scot*’s first array of floating solar panels will be installed this year as part of an innovative move to generate renewable energy and reduce carbon emissions.

First Minister Humza Yousaf toured the manufacturing facility of Nova Innovation in Leith where the panels are being tested before their launch.

The company installed the world’s first offshore tidal turbine array in Shetland in 2016 and subsequently received £6.4 million from the Scot*National Investment Bank in September 2021 to boost production of innovative renewable energy generators.

It has since established project sites in Canada, France and Indonesia. Its floating solar panels build on its expertise in tidal energy and an official launch of the installation will take place later this year with a multi-megawatt international order already in the pipeline.

The First Minister said:

“These panels give a fascinating glimpse into the opportunities for Scot*’s future energy system and are the first step towards harnessing our significant potential for floating solar.

“The investment by the Scot*National Investment Bank in Nova Innovation helped expand its manufacturing base here in Leith and aligned strongly with the Scottish-Government’s priority of supporting innovative technology that will help us achieve net zero carbon emissions by 2045.

“Scot* is already one of the most advanced hubs in Europe for the testing and demonstration of marine energy technology and I look forward to seeing where the panels will be launched in the near future.”

Chief Executive of Nova Innovation Simon Forrest said:

“With record-high energy prices and growing concerns over security of supply, there is an immediate need for Scot* to focus on homegrown energy from our abundant natural resources. 

“Scot* is at the heart of the tidal energy revolution and Nova continues to lead the sector with proven technology and unrivalled reliability. With the addition of floating solar to our portfolio, we are ideally placed to help drive the race to Net Zero. 

“We were honoured to welcome the First Minister to discuss the economic benefits, job creation opportunities and the part Scot* can play in the global supply for renewable energy.”             ",11/04/2023,Floating solar panels ready in first for Scotland
"
                    
                        New Framework to enhance engagement.
                    

A new framework to strengthen Scot*’s engagement with global connections has been published.

The Scot*Connections Framework seeks to expand links and networks with:

Scot*people living elsewhere in the world
 those with Scot*heritage
 people who have previously lived in Scot*, including alumni
 those with a professional, business, cultural or other links to Scot*
The Framework outlines commitments to Scot*’s global communities, recognising the benefits of international collaboration for both Scot* and the diaspora across the world.

As part of the Framework, a number of projects will be expanded or launched including a Scot*Connections Challenge Fund to support initiatives that promote Scot*’s reputation and interests.

During the lifetime of this Parliament, a recognition award to highlight the achievements of Scot*diaspora internationally will also be launched and an external advisory group will be established to shape proposed and future work with the diaspora.

External Affairs Secretary Angus Robertson said:

“Scot* is an open, connected and outward-looking country with a long and proud history of intellectual, cultural and economic exchange.

“Recent research suggested that upwards of 40 million people across the world consider themselves to have Scot*heritage but the approach set out in Scot*Connections goes far beyond bloodlines. Recognising and engaging our diaspora is an objective in itself – not a means to an end. Scot*’s diaspora and our Scot*Connections are an extension of Scot* – our living bridge with people, organisations and communities around the world.

“Publishing this Framework will unlock many opportunities for Scots and those connected to Scot* across the world. Connecting with our international diaspora will enable us to learn from their skills, experiences and achievements. I look forward to discussing the Framework in detail with our friends and partners in New York City as part of the 25th anniversary of Tartan Week – itself a leading global event to celebrate Scot*’s contributions to the world.”

Background

Read the Scot*Connections Framework

The Framework builds on existing work with established networks including the Scottish-Government International Network, GlobalScots, alumni groups and heritage diaspora organisations.

Further details of the Scot*Connections Challenge Fund, the recognition award and the external advisory group will be set out later in 2023.

Scot*Connections (diaspora) work: qualitative research            ",11/04/2023,Connecting Scotland’s worldwide diaspora
"
                    
                        New campaign promoting disability benefits launched
                    

Disabled people are being urged to find out if they are eligible for Scottish-Government disability benefits as part of a new campaign to increase benefit take-up. 

The nationwide campaign aims to raise awareness about financial support available to help with the extra costs that disabled children and adults may face.

Child Disability Payment provides financial support to help families and carers with the extra costs of caring for a disabled child or young person or a child or young person with a long-term health condition. Adult Disability Payment is available to   people aged between 16 and state pension age who are disabled, have a long-term health condition or a terminal illness.

These benefits are administered by Social Security Scot* and replace the Department for Work and Pensions’ Disability Living Allowance (DLA) for Children, DLA and Personal Independence Payment.

People already getting disability benefits from DWP will see their award transfer automatically and they do not need to apply separately. 

Social Justice Secretary Shirley-Anne Somerville said:

“Being disabled or having a long-term health condition can come with a variety of extra costs, such as paying more for accessible transport. We want to make sure that disabled children and adults get all the extra financial support they are entitled to, to ease the impact of those costs.

“This campaign is not just about raising awareness but also has an important role to play in helping to remove any stigma that people may be worried about when applying for social security. We believe social security is a human right. It is here for any of us should we need it and we want to make sure people are accessing what they are due.

“This is the first time that we are proactively promoting disability benefits as part of a national advertising campaign, including adverts on TV. We are not aware of the UK Government running a campaign on the equivalent UK benefits for over 30-years. I want to actively encourage people to check if they are eligible for Child and Adult Disability Payments and make sure they get extra financial support to help them live full and independent lives.”

The campaign features Piper, 9, who has Down's Syndrome. Her mum Caroline Milburn, says disability benefits have helped cover extra costs as well as give Piper opportunities she’d never have had without them.

Caroline, from Edinburgh, said: “Piper is such a unique character. When she was born we were told she wouldn’t walk until she was around six, but she was walking at two. She’s so determined and knows her own mind. If she wants to do something she’ll do it.

“Disability benefit allowed me to buy her a sensory swing and a tablet that gives her access to games that help her learn. She just thinks she’s having fun but the games have taught her so much. She plays them with her five-year-old brother sitting beside her and he learns with her.

“Child Disability Payment helps cover the costs of buying Piper new clothes and duvets as she is always chewing holes in them  It also allows me to send her to holiday clubs. She loves them and they’re really good for her, but they cost about £40 a week.

“Piper is such an amazing girl and she makes everyone’s lives better. Without disability benefits we’d not have been able to give her all the experiences and opportunities she’s had to learn and connect with the world.”

 

             ",10/04/2023,Financial support for disabled people
"
                    
                        Linking business and clinical expertise.
                    

 

Innovative companies will be able to trial new health products in clinical settings across the country following a link-up between the Scottish-Government’s £42 million Techscaler programme and the NHS.

Participants in the programme, which provides world class expertise and support to young businesses with high growth potential, are being offered access to NHS Regional Test Beds. These enable entrepreneurs to work alongside clinicians and have access to patients and anonymised data to test ideas, products and services.

And in a reciprocal agreement, firms already using the NHS Test Beds will automatically become part of the Techscaler network.

Wellbeing Economy Secretary Neil Gray announced the move during a visit to Bioliberty in Edinburgh, which uses robotics to provide rehabilitation and assistance for stroke survivors. The company will be one of 14 firms in sectors including healthtech and life sciences to join a Scottish-Government-funded visit to New York to showcase their work.

Mr Gray said:

“Scot*’s life sciences sector has an annual turnover of more than £8 billion and is one of our key sectors for transformative economic growth. This partnership will be able to leverage our world-leading universities, life sciences hubs and excellent healthcare systems to support the growth of the sector and development of entrepreneurs.

“Testing products in a real world environment and accelerating development is vital, and will enable a broader reach of the Tech Scaler programme. This in turn will benefit patients and medical staff as they develop cutting-edge technology for use across the NHS, from stroke and rehabilitation through to reducing drug-related deaths.

“It is a further example of the steps we are taking as we develop a sustainable, high-skill economy that works for everyone.”

Chief Scientist (Health) Anna Dominiczak said:

“I welcome this collaboration, which will result in transformative innovations for the NHS and help to ensure that Scot* is the best location for life sciences companies.”

Scot*’s Chief Entrepreneur Mark Logan said:

“By making this connection between health testing and business support, we create an environment for innovation which enables Scot*companies to compete effectively, whilst bringing much-needed treatment solutions to the NHS.”

Background

The Techscaler network was recommended as part of Mark Logan’s Technology ecosystem review.            ",07/04/2023,Tech partnership boosts health innovation
"
                    
                        Additional half a billion pounds raised for public services.
                    

Changes to income tax in Scot* have come into force and are estimated to raise more than half a billion pounds of additional revenue this financial year to support vital public services.

The tax rates for earnings between £12,571 and £43,662 remain the same while earnings above £43,663 are now taxed at the Higher tax rate of 42%.

The threshold at which people pay the Top Rate of tax has reduced from £150,000 to £125,140 with earnings over that threshold now taxed at 47%.

According to the Scot*Fiscal Commission, these changes will raise £129 million in 2023-24.

The Higher Rate threshold will also remain at its 2022-23 level, applying to earnings over £43,662, which will increase revenue by a further £390 million when compared to uprating the threshold by inflation, according to Scottish-Government estimates.

As the new financial year begins, Scot*taxpayers are also being encouraged to check if their tax code on their first payslip is correct – people paying Scot*Income Tax should have a tax code that starts with an S.

Deputy First Minister Shona Robison said:

“The decisions we have made on income tax are fair and progressive by ensuring that those who can, contribute more. They strengthen our social contract with the people of Scot* who will continue to enjoy many benefits not available in the rest of the UK such as free prescriptions.

“The additional revenue will help us invest in our vital public services including the NHS, above and beyond the funding received from the UK Government.  At the same time, the majority of taxpayers in Scot* will still be paying less income tax than if they lived in the rest of the UK.

“Now that the new financial year has started, I’d also encourage people to check that the tax code is correct on the first payslip they get. If you think your tax code is wrong, you can check your details with HMRC who will be able to help.”

Background

The new Scot*Income Tax bands and rates for the financial year 2023-24 are:


   Band
   
   
   Band name
   
   
   Rate
   
  
   £12,571* - £14,732
   
   
   Starter Rate
   
   
   19%
   
  
   £14,733 - £25,688
   
   
   Basic Rate
   
   
   20%
   
  
   £25,689 - £43,662
   
   
   Intermediate Rate
   
   
   21%
   
  
   £43,663 - £125,140**
   
   
   Higher Rate
   
   
   42%
   
  
   Over £125,140
   
   
   Top Rate
   
   
   47%
   
  * Assumes individuals are in receipt of the standard Personal Allowance.

** Those earning more than £100,000 will see their Personal Allowance reduced by £1 for every £2 earned over £100,000.

The Personal Allowance threshold remains reserved and is set by the UK Government at the UK Budget.            ",06/04/2023,New financial year heralds income tax changes
"
                    
                        First Minister announces additional support for general practices in most deprived areas.
                    

People living in some of Scot*’s most deprived communities will benefit from an additional £1 million of funding to help tackle health inequalities.

The Inclusion Health Action in General Practice programme provides targeted funding for support to patients whose social circumstances have a negative impact on their health.

The funding is allocated directly to practices which are in the NHS Greater Glasgow and Clyde Health Board area and feature on the list of 100 most deprived practices in Scot*.

First Minister Humza Yousaf made the announcement as he visited the New Gorbals Health Centre in Glasgow.

The First Minister said:

“General practice is at the heart of our communities and is uniquely placed to deliver the care and support needed by patients who experience health inequalities.

“Of the one hundred poorest practices in the whole of Scot*, shockingly 81 currently sit within the Greater Glasgow and Clyde Health Board area – a statistic I am determined to change.

“This additional funding of £1 million will build on the foundations of previous funding. At a time when the cost of living crisis is widening health inequalities, this is an important step that supports our commitments to prevention and early intervention with patients at highest risk of poor health.”

Lorna Kelly, Chair of the Primary Care Health Inequalities Development Group said:

“The NHS needs to be at its best where it is needed the most, or health inequalities will continue to worsen.

“This additional resource to general practices serving the most deprived communities in Scot* is therefore very welcome.”

Background

Inclusion Health Action in General Practice funding of £300,000 in 2022-23 was provided to general practices in NHS Greater Glasgow and Clyde with the highest levels of poverty and disadvantage.

IHAGP relates to recommendation from the Short Life Working Group on Health Inequalities in Primary Care report, published in March 2022, that the Scottish-Government provide general practices with increased resources targeted at deprivation. The intent of the recommendation was:

to address a gap between existing demand-led funding allocation processes and patient needs associated with inequality; and
 to act as a bridging mechanism between the current General Practice funding formula and any future funding model/approach which takes fuller account of deprivation.
",05/04/2023,Tackling health inequalities
